B,G,R,Gray,Xb,Xg,Xr,H,S,V,L,a,b,pH
97.83555506591753,141.21798685321878,114.53446898755097,128.29401778763173,0.7625885972942803,1.1007371137676927,0.8927498800227982,48.50374573096838,78.58011090301495,141.21798685321878,142.1084701259594,110.11171550806067,148.19819323565056,4.45
90.49406832681785,137.64333448898347,109.53594669663386,123.86420919658406,0.7305909343286996,1.111243799817352,0.8843228193770655,47.97017625657027,87.60570412965598,137.64333448898347,138.0416591947908,108.9693035414699,150.16141244356243,4.45
87.21317178803444,134.28151833491418,106.04342394903091,120.47253660719079,0.7239257530734922,1.1146234828004706,0.8802290292499857,48.108291425810265,89.86326395475777,134.28151833491418,134.7297600085903,108.88932834618896,150.18369633301717,4.45
106.6023174012001,142.67738292296022,105.9233438513001,127.5753677710532,0.8356026658101324,1.118377202556916,0.8302805290860708,60.60292951238017,66.71693306434928,142.67738292296022,142.30161993930616,107.6768570246224,143.2311538726809,4.61
105.25512382365027,140.73845531958963,105.11829142404714,126.04292652428532,0.8350736271056848,1.1165914597553623,0.8339880255302822,60.347628258451174,67.43376862866936,140.73845531958963,140.52964718694983,108.18818255010238,143.1042203269225,4.61
92.47553552595109,130.32663933393565,92.11407755632426,114.58605752831959,0.8070400319261883,1.1373690843820665,0.8038855646426142,60.28584541288862,77.90133939980778,130.32663933393565,129.61205999762427,106.60213958410574,144.3464909596812,4.61
118.76726882982888,129.51658394705947,78.64902426441812,113.08176167858541,1.0502778438083014,1.145335746671396,0.6955058277917869,83.60172288042125,101.02750649304444,129.51658394705947,128.63173319813572,108.26953694809123,128.46279396591598,5.01
119.34304509788382,130.58309423793295,79.11287944836333,113.91213441388602,1.047676313958487,1.146349288509291,0.6945079192434075,83.35068558294365,101.48141000237774,130.58309423793295,129.60749782040105,107.99960370928113,128.6717405088373,5.01
102.86102586146572,113.15883758359742,65.98114622174683,97.87875733008107,1.0509024497990174,1.1561123237597575,0.6741109922272056,83.42755390721062,107.63476552737598,113.15883758359742,112.60259114492219,109.28755510681476,128.7125848470005,5.01
122.22716671919319,124.48121651433975,66.00211550583045,106.73900363614877,1.1451031258998854,1.1662205217754376,0.6183504928603047,88.90276158209896,120.38789788843366,124.67604790419162,123.43075559407501,108.32200598802396,123.34370863536085,5.12
112.1559395734153,112.2293111419325,56.93406721562061,95.68766884915428,1.1721044197473578,1.1728712016054557,0.5949989993525044,89.93023536712856,127.58989225008642,113.49009758718496,111.58643525633816,109.848875227516,122.44087082922034,5.12
116.31352810392931,116.05061322948151,59.178098116717045,99.07570350645199,1.1739863961334855,1.1713327195493908,0.5973018209541481,90.03002572076261,127.31784759358288,117.6807682806324,115.2562594454778,109.54516391536852,122.12808794466403,5.12
125.65964759217887,121.05589439180706,60.81305751700071,103.56811403108233,1.2133043916824298,1.168852938226493,0.5871793465192366,91.97156765219094,132.89828117610608,126.34790283915788,120.2922652924773,109.97998238776276,119.5272867370069,5.20
